127.0.0.1 - - [19/Feb/2026:14:53:09 +0100] "GET /tp333/etudiants HTTP/1.1" 404 771
127.0.0.1 - - [19/Feb/2026:14:53:46 +0100] "GET /tpAuthentificationREST/etudiants HTTP/1.1" 404 788
127.0.0.1 - - [19/Feb/2026:14:54:21 +0100] "GET /tpAuthentifiquationREST/etudiants HTTP/1.1" 404 789
127.0.0.1 - - [19/Feb/2026:14:54:51 +0100] "GET /tpAuthentifiquationREST/etudiants%5EC HTTP/1.1" 404 715
127.0.0.1 - - [19/Feb/2026:14:54:57 +0100] "GET /tpAuthentifiquationREST/etudiants HTTP/1.1" 404 711
127.0.0.1 - - [19/Feb/2026:14:55:05 +0100] "GET / HTTP/1.1" 200 11237
127.0.0.1 - - [19/Feb/2026:14:55:05 +0100] "GET /tomcat.css HTTP/1.1" 200 5584
127.0.0.1 - - [19/Feb/2026:14:55:05 +0100] "GET /tomcat.svg HTTP/1.1" 200 67795
127.0.0.1 - - [19/Feb/2026:14:55:05 +0100] "GET /bg-nav.png HTTP/1.1" 200 1401
127.0.0.1 - - [19/Feb/2026:14:55:05 +0100] "GET /asf-logo-wide.svg HTTP/1.1" 200 7089
127.0.0.1 - - [19/Feb/2026:14:55:05 +0100] "GET /bg-upper.png HTTP/1.1" 200 3103
127.0.0.1 - - [19/Feb/2026:14:55:05 +0100] "GET /bg-button.png HTTP/1.1" 200 713
127.0.0.1 - - [19/Feb/2026:14:55:05 +0100] "GET /bg-middle.png HTTP/1.1" 200 1918
127.0.0.1 - - [19/Feb/2026:14:55:34 +0100] "GET /tpAuthentifiquationREST/etudiants HTTP/1.1" 404 711
127.0.0.1 - - [19/Feb/2026:14:55:59 +0100] "GET /tpAuthentifiquationREST/etudiants HTTP/1.1" 200 16
127.0.0.1 - - [19/Feb/2026:14:55:59 +0100] "GET /favicon.ico HTTP/1.1" 200 21630
127.0.0.1 - - [19/Feb/2026:14:57:13 +0100] "GET /tpAuthentifiquationREST/etudiants HTTP/1.1" 500 1556
127.0.0.1 - - [19/Feb/2026:14:57:14 +0100] "GET /tpAuthentifiquationREST/etudiants HTTP/1.1" 500 1556
127.0.0.1 - - [19/Feb/2026:14:57:14 +0100] "GET /tpAuthentifiquationREST/etudiants HTTP/1.1" 500 1556
127.0.0.1 - - [19/Feb/2026:14:57:14 +0100] "GET /tpAuthentifiquationREST/etudiants HTTP/1.1" 500 1556
127.0.0.1 - - [19/Feb/2026:14:57:14 +0100] "GET /tpAuthentifiquationREST/etudiants HTTP/1.1" 500 1556
127.0.0.1 - - [19/Feb/2026:14:57:15 +0100] "GET /tpAuthentifiquationREST/etudiants HTTP/1.1" 500 1556
127.0.0.1 - - [19/Feb/2026:14:57:15 +0100] "GET /tpAuthentifiquationREST/etudiants HTTP/1.1" 500 1556
127.0.0.1 - - [19/Feb/2026:14:57:15 +0100] "GET /tpAuthentifiquationREST/etudiants HTTP/1.1" 500 1556
127.0.0.1 - - [19/Feb/2026:14:57:15 +0100] "GET /tpAuthentifiquationREST/etudiants HTTP/1.1" 500 1556
127.0.0.1 - - [19/Feb/2026:14:57:15 +0100] "GET /tpAuthentifiquationREST/etudiants HTTP/1.1" 500 1556
127.0.0.1 - - [19/Feb/2026:14:57:16 +0100] "GET /tpAuthentifiquationREST/etudiants HTTP/1.1" 200 23
127.0.0.1 - - [19/Feb/2026:14:57:16 +0100] "GET /tpAuthentifiquationREST/etudiants HTTP/1.1" 200 23
127.0.0.1 - - [19/Feb/2026:14:57:16 +0100] "GET /tpAuthentifiquationREST/etudiants HTTP/1.1" 200 23
127.0.0.1 - - [19/Feb/2026:14:57:17 +0100] "GET /tpAuthentifiquationREST/etudiants HTTP/1.1" 200 23
127.0.0.1 - - [19/Feb/2026:14:57:16 +0100] "GET /tpAuthentifiquationREST/etudiants HTTP/1.1" 200 23
127.0.0.1 - - [19/Feb/2026:14:57:17 +0100] "GET /tpAuthentifiquationREST/etudiants HTTP/1.1" 200 23
127.0.0.1 - - [19/Feb/2026:14:57:17 +0100] "GET /tpAuthentifiquationREST/etudiants HTTP/1.1" 200 23
127.0.0.1 - - [19/Feb/2026:14:57:36 +0100] "GET /tpAuthentifiquationREST/etudiants HTTP/1.1" 200 24
127.0.0.1 - - [19/Feb/2026:14:57:36 +0100] "GET /tpAuthentifiquationREST/etudiants HTTP/1.1" 200 28
127.0.0.1 - - [19/Feb/2026:14:57:37 +0100] "GET /tpAuthentifiquationREST/etudiants HTTP/1.1" 200 28
127.0.0.1 - - [19/Feb/2026:14:57:37 +0100] "GET /tpAuthentifiquationREST/etudiants HTTP/1.1" 200 28
